i	XD	ThetaCalc	ThetaE	xE	rE	Err
114	1.99157	0.413173	7.20053	1.99157	0.594301	16.4274
115	1.99925	0.299086	7.15531	1.99925	0.592556	22.9239
116	2.00691	0.185142	7.11047	2.00691	0.590816	37.4056
117	2.01456	0.0708111	7.06576	2.01456	0.589077	98.7831
118	2.02219	-0.0435064	7.02137	2.02219	0.587343	162.387
i	XD	ThetaCalc	ThetaE	xE	rE	Err
1	0.299882	16.9505	16.9608	0.299882	1.04107	0.000606943
2	0.327251	16.7632	16.8032	0.327251	1.0316	0.00238698
3	0.356577	16.5554	16.623	0.356577	1.02156	0.00407851
4	0.387824	16.3284	16.423	0.387824	1.011	0.00579751
5	0.420943	16.0831	16.2063	0.420943	0.99995	0.00766164
6	0.455878	15.8207	15.9755	0.455878	0.988447	0.00978485
7	0.492572	15.5421	15.7329	0.492572	0.97653	0.0122738
8	0.530967	15.2479	15.48	0.530967	0.964236	0.0152262
9	0.57101	14.9381	15.218	0.57101	0.9516	0.018732
10	0.612657	14.6129	14.9473	0.612657	0.938653	0.0228836
11	0.655872	14.2715	14.6677	0.655872	0.92542	0.0277599
12	0.699365	13.9458	14.4275	0.699365	0.912309	0.0345453
13	0.741585	13.6633	14.2628	0.741585	0.899792	0.04388
14	0.784197	13.3759	14.1003	0.784197	0.887378	0.0541594
15	0.814442	13.1656	13.9789	0.814442	0.878698	0.0617742
16	0.845393	12.9431	13.8465	0.845393	0.869924	0.0697952
17	0.876251	12.7232	13.7219	0.876251	0.861286	0.078499
18	0.90721	12.5002	13.5975	0.90721	0.852727	0.0877784
19	0.938316	12.2722	13.4704	0.938316	0.844235	0.0976318
20	0.969558	12.0389	13.3403	0.969558	0.835812	0.108099
21	1.00093	11.7999	13.2068	1.00093	0.82746	0.119234
22	1.03229	11.5573	13.0725	1.03229	0.819212	0.131105
23	1.0638	11.3076	12.9334	1.0638	0.811025	0.143772
24	1.08951	11.0968	12.8128	1.08951	0.804419	0.154635
25	1.11531	10.8815	12.6897	1.11531	0.797851	0.166163
26	1.1409	10.6667	12.5691	1.1409	0.791398	0.178344
27	1.16665	10.4442	12.4421	1.16665	0.784963	0.191294
28	1.18963	10.2398	12.3236	1.18963	0.779269	0.203496
29	1.21493	10.0147	12.1964	1.21493	0.77305	0.217845
30	1.23751	9.80718	12.0767	1.23751	0.767542	0.231417
31	1.26006	9.59393	11.952	1.26006	0.76208	0.245792
32	1.28236	9.37838	11.8254	1.28236	0.756716	0.260924
33	1.30291	9.17605	11.7066	1.30291	0.751801	0.275774
34	1.32369	8.97185	11.5895	1.32369	0.746859	0.291763
35	1.34297	8.77574	11.4747	1.34297	0.742299	0.307551
36	1.36091	8.58961	11.3655	1.36091	0.738074	0.323167
37	1.3777	8.4141	11.2634	1.3777	0.734138	0.338634
38	1.39364	8.24197	11.1614	1.39364	0.730415	0.354218
39	1.40783	8.0882	11.0715	1.40783	0.727109	0.36884
40	1.42047	7.94701	10.9873	1.42047	0.724175	0.38257
41	1.43047	7.83265	10.9184	1.43047	0.721856	0.393956
42	1.43663	7.75878	10.8722	1.43663	0.720429	0.401277
43	1.46513	7.44356	10.6934	1.46513	0.71385	0.436604
44	1.46819	7.40299	10.6668	1.46819	0.713146	0.440873
45	1.4702	7.37013	10.6421	1.4702	0.712683	0.443953
46	1.47239	7.33805	10.6196	1.47239	0.712178	0.447202
47	1.47538	7.29518	10.59	1.47538	0.71149	0.451648
48	1.47939	7.2442	10.5579	1.47939	0.710568	0.457433
49	1.48335	7.19197	10.5243	1.48335	0.709654	0.463341
50	1.48767	7.13664	10.4895	1.48767	0.708662	0.469814
51	1.4923	7.07876	10.4541	1.4923	0.707594	0.476834
52	1.49753	7.01267	10.4135	1.49753	0.706392	0.484958
53	1.50277	6.94978	10.3768	1.50277	0.705188	0.493104
54	1.51268	6.83379	10.3112	1.51268	0.70291	0.508856
55	1.51892	6.7589	10.2682	1.51892	0.701479	0.51921
56	1.52559	6.67831	10.2219	1.52559	0.699951	0.530606
57	1.53241	6.59634	10.1754	1.53241	0.698387	0.542586
58	1.53944	6.51209	10.1281	1.53944	0.696779	0.555277
59	1.54663	6.42558	10.0798	1.54663	0.695133	0.568695
60	1.5539	6.33846	10.0316	1.5539	0.693473	0.582653
61	1.56126	6.2498	9.98275	1.56126	0.691792	0.597292
62	1.57014	6.14192	9.92338	1.57014	0.689765	0.615682
63	1.57778	6.04794	9.87149	1.57778	0.688023	0.632208
64	1.585	5.96121	9.8251	1.585	0.686378	0.648172
65	1.59236	5.87105	9.77633	1.59236	0.684702	0.665176
66	1.59957	5.78328	9.72951	1.59957	0.683062	0.68235
67	1.6067	5.69673	9.68383	1.6067	0.681442	0.699893
68	1.61393	5.60785	9.63676	1.61393	0.679798	0.718441
69	1.62118	5.51836	9.58954	1.62118	0.678153	0.737752
70	1.62844	5.42848	9.54236	1.62844	0.676506	0.757831
71	1.6417	5.26224	9.45513	1.6417	0.673498	0.796789
72	1.64973	5.15857	9.39983	1.64973	0.671681	0.822179
73	1.65853	5.04004	9.335	1.65853	0.669686	0.852167
74	1.66906	4.89085	9.25082	1.66906	0.667302	0.891455
75	1.67717	4.78598	9.19661	1.67717	0.665463	0.921571
76	1.68604	4.66611	9.13277	1.68604	0.663455	0.957254
77	1.6943	4.55718	9.07649	1.6943	0.661585	0.99169
78	1.70276	4.44387	9.01771	1.70276	0.65967	1.02925
79	1.71085	4.33687	8.96336	1.71085	0.657838	1.06678
80	1.71907	4.22695	8.90744	1.71907	0.65598	1.1073
81	1.72703	4.12115	8.85449	1.72703	0.654177	1.14855
82	1.73883	3.96291	8.77548	1.73883	0.651508	1.2144
83	1.74695	3.85409	8.72186	1.74695	0.64967	1.26301
84	1.75508	3.74471	8.66822	1.75508	0.647832	1.31479
85	1.7631	3.63686	8.61586	1.7631	0.646019	1.36904
86	1.77111	3.52858	8.56355	1.77111	0.644207	1.42691
87	1.77904	3.42132	8.51219	1.77904	0.642414	1.48798
88	1.78695	3.31381	8.461	1.78695	0.640624	1.55326
89	1.79481	3.20697	8.41052	1.79481	0.638849	1.62257
90	1.80264	3.1	8.36029	1.80264	0.637078	1.69687
91	1.81042	2.99347	8.31063	1.81042	0.635318	1.77625
92	1.81818	2.88685	8.26122	1.81818	0.633563	1.86167
93	1.82591	2.78052	8.2123	1.82591	0.631818	1.95352
94	1.83361	2.67406	8.1636	1.83361	0.630076	2.05289
95	1.84338	2.53846	8.10203	1.84338	0.627866	2.19171
96	1.85128	2.42832	8.05234	1.85128	0.62608	2.31601
97	1.85911	2.31913	8.00352	1.85911	0.62431	2.45108
98	1.86693	2.20944	7.95472	1.86693	0.62254	2.60034
99	1.87471	2.1003	7.90656	1.87471	0.620781	2.76449
100	1.88247	1.99081	7.85852	1.88247	0.619025	2.9474
101	1.89019	1.88168	7.81102	1.89019	0.617277	3.15108
102	1.8979	1.77228	7.76367	1.8979	0.615532	3.38061
103	1.90558	1.66305	7.71673	1.90558	0.613795	3.6401
104	1.91324	1.55361	7.66998	1.91324	0.61206	3.93686
105	1.92088	1.44424	7.62357	1.92088	0.610331	4.2786
106	1.9285	1.33469	7.5774	1.9285	0.608605	4.67728
107	1.93609	1.22514	7.53154	1.93609	0.606884	5.14748
108	1.94368	1.11536	7.48586	1.94368	0.605165	5.71161
109	1.95124	1.00549	7.44043	1.95124	0.603451	6.39981
110	1.96065	0.868227	7.38407	1.96065	0.601318	7.50477
111	1.96843	0.754164	7.33753	1.96843	0.599553	8.72936
112	1.97615	0.640773	7.29168	1.97615	0.597801	10.3795
113	1.98388	0.526789	7.24584	1.98388	0.596047	12.7547
114	1.99157	0.413173	7.20053	1.99157	0.594301	16.4274
115	1.99925	0.299086	7.15531	1.99925	0.592556	22.9239
116	2.00691	0.185142	7.11047	2.00691	0.590816	37.4056
117	2.01456	0.0708111	7.06576	2.01456	0.589077	98.7831
118	2.02219	-0.0435064	7.02137	2.02219	0.587343	162.387
i	XD	ThetaCalc	ThetaE	xE	rE	Err
1	0.299882	16.9505	16.9608	0.299882	1.04107	0.000606943
2	0.327251	16.7632	16.8032	0.327251	1.0316	0.00238698
3	0.356577	16.5554	16.623	0.356577	1.02156	0.00407851
4	0.387824	16.3284	16.423	0.387824	1.011	0.00579751
5	0.420943	16.0831	16.2063	0.420943	0.99995	0.00766164
6	0.455878	15.8207	15.9755	0.455878	0.988447	0.00978485
7	0.492572	15.5421	15.7329	0.492572	0.97653	0.0122738
8	0.530967	15.2479	15.48	0.530967	0.964236	0.0152262
9	0.57101	14.9381	15.218	0.57101	0.9516	0.018732
10	0.612657	14.6129	14.9473	0.612657	0.938653	0.0228836
11	0.655872	14.2715	14.6677	0.655872	0.92542	0.0277599
12	0.699365	13.9458	14.4275	0.699365	0.912309	0.0345453
13	0.741585	13.6633	14.2628	0.741585	0.899792	0.04388
14	0.784197	13.3759	14.1003	0.784197	0.887378	0.0541594
15	0.814442	13.1656	13.9789	0.814442	0.878698	0.0617742
16	0.845393	12.9431	13.8465	0.845393	0.869924	0.0697952
17	0.876251	12.7232	13.7219	0.876251	0.861286	0.078499
18	0.90721	12.5002	13.5975	0.90721	0.852727	0.0877784
19	0.938316	12.2722	13.4704	0.938316	0.844235	0.0976318
20	0.969558	12.0389	13.3403	0.969558	0.835812	0.108099
21	1.00093	11.7999	13.2068	1.00093	0.82746	0.119234
22	1.03229	11.5573	13.0725	1.03229	0.819212	0.131105
23	1.0638	11.3076	12.9334	1.0638	0.811025	0.143772
24	1.08951	11.0968	12.8128	1.08951	0.804419	0.154635
25	1.11531	10.8815	12.6897	1.11531	0.797851	0.166163
26	1.1409	10.6667	12.5691	1.1409	0.791398	0.178344
27	1.16665	10.4442	12.4421	1.16665	0.784963	0.191294
28	1.18963	10.2398	12.3236	1.18963	0.779269	0.203496
29	1.21493	10.0147	12.1964	1.21493	0.77305	0.217845
30	1.23751	9.80718	12.0767	1.23751	0.767542	0.231417
31	1.26006	9.59393	11.952	1.26006	0.76208	0.245792
32	1.28236	9.37838	11.8254	1.28236	0.756716	0.260924
33	1.30291	9.17605	11.7066	1.30291	0.751801	0.275774
34	1.32369	8.97185	11.5895	1.32369	0.746859	0.291763
35	1.34297	8.77574	11.4747	1.34297	0.742299	0.307551
36	1.36091	8.58961	11.3655	1.36091	0.738074	0.323167
37	1.3777	8.4141	11.2634	1.3777	0.734138	0.338634
38	1.39364	8.24197	11.1614	1.39364	0.730415	0.354218
39	1.40783	8.0882	11.0715	1.40783	0.727109	0.36884
40	1.42047	7.94701	10.9873	1.42047	0.724175	0.38257
41	1.43047	7.83265	10.9184	1.43047	0.721856	0.393956
42	1.43663	7.75878	10.8722	1.43663	0.720429	0.401277
43	1.46513	7.44356	10.6934	1.46513	0.71385	0.436604
44	1.46819	7.40299	10.6668	1.46819	0.713146	0.440873
45	1.4702	7.37013	10.6421	1.4702	0.712683	0.443953
46	1.47239	7.33805	10.6196	1.47239	0.712178	0.447202
47	1.47538	7.29518	10.59	1.47538	0.71149	0.451648
48	1.47939	7.2442	10.5579	1.47939	0.710568	0.457433
49	1.48335	7.19197	10.5243	1.48335	0.709654	0.463341
50	1.48767	7.13664	10.4895	1.48767	0.708662	0.469814
51	1.4923	7.07876	10.4541	1.4923	0.707594	0.476834
52	1.49753	7.01267	10.4135	1.49753	0.706392	0.484958
53	1.50277	6.94978	10.3768	1.50277	0.705188	0.493104
54	1.51268	6.83379	10.3112	1.51268	0.70291	0.508856
55	1.51892	6.7589	10.2682	1.51892	0.701479	0.51921
56	1.52559	6.67831	10.2219	1.52559	0.699951	0.530606
57	1.53241	6.59634	10.1754	1.53241	0.698387	0.542586
58	1.53944	6.51209	10.1281	1.53944	0.696779	0.555277
59	1.54663	6.42558	10.0798	1.54663	0.695133	0.568695
60	1.5539	6.33846	10.0316	1.5539	0.693473	0.582653
61	1.56126	6.2498	9.98275	1.56126	0.691792	0.597292
62	1.57014	6.14192	9.92338	1.57014	0.689765	0.615682
63	1.57778	6.04794	9.87149	1.57778	0.688023	0.632208
64	1.585	5.96121	9.8251	1.585	0.686378	0.648172
65	1.59236	5.87105	9.77633	1.59236	0.684702	0.665176
66	1.59957	5.78328	9.72951	1.59957	0.683062	0.68235
67	1.6067	5.69673	9.68383	1.6067	0.681442	0.699893
68	1.61393	5.60785	9.63676	1.61393	0.679798	0.718441
69	1.62118	5.51836	9.58954	1.62118	0.678153	0.737752
70	1.62844	5.42848	9.54236	1.62844	0.676506	0.757831
71	1.6417	5.26224	9.45513	1.6417	0.673498	0.796789
72	1.64973	5.15857	9.39983	1.64973	0.671681	0.822179
73	1.65853	5.04004	9.335	1.65853	0.669686	0.852167
74	1.66906	4.89085	9.25082	1.66906	0.667302	0.891455
75	1.67717	4.78598	9.19661	1.67717	0.665463	0.921571
76	1.68604	4.66611	9.13277	1.68604	0.663455	0.957254
77	1.6943	4.55718	9.07649	1.6943	0.661585	0.99169
78	1.70276	4.44387	9.01771	1.70276	0.65967	1.02925
79	1.71085	4.33687	8.96336	1.71085	0.657838	1.06678
80	1.71907	4.22695	8.90744	1.71907	0.65598	1.1073
81	1.72703	4.12115	8.85449	1.72703	0.654177	1.14855
82	1.73883	3.96291	8.77548	1.73883	0.651508	1.2144
83	1.74695	3.85409	8.72186	1.74695	0.64967	1.26301
84	1.75508	3.74471	8.66822	1.75508	0.647832	1.31479
85	1.7631	3.63686	8.61586	1.7631	0.646019	1.36904
86	1.77111	3.52858	8.56355	1.77111	0.644207	1.42691
87	1.77904	3.42132	8.51219	1.77904	0.642414	1.48798
88	1.78695	3.31381	8.461	1.78695	0.640624	1.55326
89	1.79481	3.20697	8.41052	1.79481	0.638849	1.62257
90	1.80264	3.1	8.36029	1.80264	0.637078	1.69687
91	1.81042	2.99347	8.31063	1.81042	0.635318	1.77625
92	1.81818	2.88685	8.26122	1.81818	0.633563	1.86167
93	1.82591	2.78052	8.2123	1.82591	0.631818	1.95352
94	1.83361	2.67406	8.1636	1.83361	0.630076	2.05289
95	1.84338	2.53846	8.10203	1.84338	0.627866	2.19171
96	1.85128	2.42832	8.05234	1.85128	0.62608	2.31601
97	1.85911	2.31913	8.00352	1.85911	0.62431	2.45108
98	1.86693	2.20944	7.95472	1.86693	0.62254	2.60034
99	1.87471	2.1003	7.90656	1.87471	0.620781	2.76449
100	1.88247	1.99081	7.85852	1.88247	0.619025	2.9474
101	1.89019	1.88168	7.81102	1.89019	0.617277	3.15108
102	1.8979	1.77228	7.76367	1.8979	0.615532	3.38061
103	1.90558	1.66305	7.71673	1.90558	0.613795	3.6401
104	1.91324	1.55361	7.66998	1.91324	0.61206	3.93686
105	1.92088	1.44424	7.62357	1.92088	0.610331	4.2786
106	1.9285	1.33469	7.5774	1.9285	0.608605	4.67728
107	1.93609	1.22514	7.53154	1.93609	0.606884	5.14748
108	1.94368	1.11536	7.48586	1.94368	0.605165	5.71161
109	1.95124	1.00549	7.44043	1.95124	0.603451	6.39981
110	1.96065	0.868227	7.38407	1.96065	0.601318	7.50477
111	1.96843	0.754164	7.33753	1.96843	0.599553	8.72936
112	1.97615	0.640773	7.29168	1.97615	0.597801	10.3795
113	1.98388	0.526789	7.24584	1.98388	0.596047	12.7547
114	1.99157	0.413173	7.20053	1.99157	0.594301	16.4274
115	1.99925	0.299086	7.15531	1.99925	0.592556	22.9239
116	2.00691	0.185142	7.11047	2.00691	0.590816	37.4056
117	2.01456	0.0708111	7.06576	2.01456	0.589077	98.7831
118	2.02219	-0.0435064	7.02137	2.02219	0.587343	162.387
i	XD	ThetaCalc	ThetaE	xE	rE	Err
1	0.299882	16.9505	16.9608	0.299882	1.04107	0.000606943
2	0.327251	16.7632	16.8032	0.327251	1.0316	0.00238698
3	0.356577	16.5554	16.623	0.356577	1.02156	0.00407851
4	0.387824	16.3284	16.423	0.387824	1.011	0.00579751
5	0.420943	16.0831	16.2063	0.420943	0.99995	0.00766164
6	0.455878	15.8207	15.9755	0.455878	0.988447	0.00978485
7	0.492572	15.5421	15.7329	0.492572	0.97653	0.0122738
8	0.530967	15.2479	15.48	0.530967	0.964236	0.0152262
9	0.57101	14.9381	15.218	0.57101	0.9516	0.018732
10	0.612657	14.6129	14.9473	0.612657	0.938653	0.0228836
11	0.655872	14.2715	14.6677	0.655872	0.92542	0.0277599
12	0.699365	13.9458	14.4275	0.699365	0.912309	0.0345453
13	0.741585	13.6633	14.2628	0.741585	0.899792	0.04388
14	0.784197	13.3759	14.1003	0.784197	0.887378	0.0541594
15	0.814442	13.1656	13.9789	0.814442	0.878698	0.0617742
16	0.845393	12.9431	13.8465	0.845393	0.869924	0.0697952
17	0.876251	12.7232	13.7219	0.876251	0.861286	0.078499
18	0.90721	12.5002	13.5975	0.90721	0.852727	0.0877784
19	0.938316	12.2722	13.4704	0.938316	0.844235	0.0976318
20	0.969558	12.0389	13.3403	0.969558	0.835812	0.108099
21	1.00093	11.7999	13.2068	1.00093	0.82746	0.119234
22	1.03229	11.5573	13.0725	1.03229	0.819212	0.131105
23	1.0638	11.3076	12.9334	1.0638	0.811025	0.143772
24	1.08951	11.0968	12.8128	1.08951	0.804419	0.154635
25	1.11531	10.8815	12.6897	1.11531	0.797851	0.166163
26	1.1409	10.6667	12.5691	1.1409	0.791398	0.178344
27	1.16665	10.4442	12.4421	1.16665	0.784963	0.191294
28	1.18963	10.2398	12.3236	1.18963	0.779269	0.203496
29	1.21493	10.0147	12.1964	1.21493	0.77305	0.217845
30	1.23751	9.80718	12.0767	1.23751	0.767542	0.231417
31	1.26006	9.59393	11.952	1.26006	0.76208	0.245792
32	1.28236	9.37838	11.8254	1.28236	0.756716	0.260924
33	1.30291	9.17605	11.7066	1.30291	0.751801	0.275774
34	1.32369	8.97185	11.5895	1.32369	0.746859	0.291763
35	1.34297	8.77574	11.4747	1.34297	0.742299	0.307551
36	1.36091	8.58961	11.3655	1.36091	0.738074	0.323167
37	1.3777	8.4141	11.2634	1.3777	0.734138	0.338634
38	1.39364	8.24197	11.1614	1.39364	0.730415	0.354218
39	1.40783	8.0882	11.0715	1.40783	0.727109	0.36884
40	1.42047	7.94701	10.9873	1.42047	0.724175	0.38257
41	1.43047	7.83265	10.9184	1.43047	0.721856	0.393956
42	1.43663	7.75878	10.8722	1.43663	0.720429	0.401277
43	1.46513	7.44356	10.6934	1.46513	0.71385	0.436604
44	1.46819	7.40299	10.6668	1.46819	0.713146	0.440873
45	1.4702	7.37013	10.6421	1.4702	0.712683	0.443953
46	1.47239	7.33805	10.6196	1.47239	0.712178	0.447202
47	1.47538	7.29518	10.59	1.47538	0.71149	0.451648
48	1.47939	7.2442	10.5579	1.47939	0.710568	0.457433
49	1.48335	7.19197	10.5243	1.48335	0.709654	0.463341
50	1.48767	7.13664	10.4895	1.48767	0.708662	0.469814
51	1.4923	7.07876	10.4541	1.4923	0.707594	0.476834
52	1.49753	7.01267	10.4135	1.49753	0.706392	0.484958
53	1.50277	6.94978	10.3768	1.50277	0.705188	0.493104
54	1.51268	6.83379	10.3112	1.51268	0.70291	0.508856
55	1.51892	6.7589	10.2682	1.51892	0.701479	0.51921
56	1.52559	6.67831	10.2219	1.52559	0.699951	0.530606
57	1.53241	6.59634	10.1754	1.53241	0.698387	0.542586
58	1.53944	6.51209	10.1281	1.53944	0.696779	0.555277
59	1.54663	6.42558	10.0798	1.54663	0.695133	0.568695
60	1.5539	6.33846	10.0316	1.5539	0.693473	0.582653
61	1.56126	6.2498	9.98275	1.56126	0.691792	0.597292
62	1.57014	6.14192	9.92338	1.57014	0.689765	0.615682
63	1.57778	6.04794	9.87149	1.57778	0.688023	0.632208
64	1.585	5.96121	9.8251	1.585	0.686378	0.648172
65	1.59236	5.87105	9.77633	1.59236	0.684702	0.665176
66	1.59957	5.78328	9.72951	1.59957	0.683062	0.68235
67	1.6067	5.69673	9.68383	1.6067	0.681442	0.699893
68	1.61393	5.60785	9.63676	1.61393	0.679798	0.718441
69	1.62118	5.51836	9.58954	1.62118	0.678153	0.737752
70	1.62844	5.42848	9.54236	1.62844	0.676506	0.757831
71	1.6417	5.26224	9.45513	1.6417	0.673498	0.796789
72	1.64973	5.15857	9.39983	1.64973	0.671681	0.822179
73	1.65853	5.04004	9.335	1.65853	0.669686	0.852167
74	1.66906	4.89085	9.25082	1.66906	0.667302	0.891455
75	1.67717	4.78598	9.19661	1.67717	0.665463	0.921571
76	1.68604	4.66611	9.13277	1.68604	0.663455	0.957254
77	1.6943	4.55718	9.07649	1.6943	0.661585	0.99169
78	1.70276	4.44387	9.01771	1.70276	0.65967	1.02925
79	1.71085	4.33687	8.96336	1.71085	0.657838	1.06678
80	1.71907	4.22695	8.90744	1.71907	0.65598	1.1073
81	1.72703	4.12115	8.85449	1.72703	0.654177	1.14855
82	1.73883	3.96291	8.77548	1.73883	0.651508	1.2144
83	1.74695	3.85409	8.72186	1.74695	0.64967	1.26301
84	1.75508	3.74471	8.66822	1.75508	0.647832	1.31479
85	1.7631	3.63686	8.61586	1.7631	0.646019	1.36904
86	1.77111	3.52858	8.56355	1.77111	0.644207	1.42691
87	1.77904	3.42132	8.51219	1.77904	0.642414	1.48798
88	1.78695	3.31381	8.461	1.78695	0.640624	1.55326
89	1.79481	3.20697	8.41052	1.79481	0.638849	1.62257
90	1.80264	3.1	8.36029	1.80264	0.637078	1.69687
91	1.81042	2.99347	8.31063	1.81042	0.635318	1.77625
92	1.81818	2.88685	8.26122	1.81818	0.633563	1.86167
93	1.82591	2.78052	8.2123	1.82591	0.631818	1.95352
94	1.83361	2.67406	8.1636	1.83361	0.630076	2.05289
95	1.84338	2.53846	8.10203	1.84338	0.627866	2.19171
96	1.85128	2.42832	8.05234	1.85128	0.62608	2.31601
97	1.85911	2.31913	8.00352	1.85911	0.62431	2.45108
98	1.86693	2.20944	7.95472	1.86693	0.62254	2.60034
99	1.87471	2.1003	7.90656	1.87471	0.620781	2.76449
100	1.88247	1.99081	7.85852	1.88247	0.619025	2.9474
101	1.89019	1.88168	7.81102	1.89019	0.617277	3.15108
102	1.8979	1.77228	7.76367	1.8979	0.615532	3.38061
103	1.90558	1.66305	7.71673	1.90558	0.613795	3.6401
104	1.91324	1.55361	7.66998	1.91324	0.61206	3.93686
105	1.92088	1.44424	7.62357	1.92088	0.610331	4.2786
106	1.9285	1.33469	7.5774	1.9285	0.608605	4.67728
107	1.93609	1.22514	7.53154	1.93609	0.606884	5.14748
108	1.94368	1.11536	7.48586	1.94368	0.605165	5.71161
109	1.95124	1.00549	7.44043	1.95124	0.603451	6.39981
110	1.96065	0.868227	7.38407	1.96065	0.601318	7.50477
111	1.96843	0.754164	7.33753	1.96843	0.599553	8.72936
112	1.97615	0.640773	7.29168	1.97615	0.597801	10.3795
113	1.98388	0.526789	7.24584	1.98388	0.596047	12.7547
114	1.99157	0.413173	7.20053	1.99157	0.594301	16.4274
115	1.99925	0.299086	7.15531	1.99925	0.592556	22.9239
116	2.00691	0.185142	7.11047	2.00691	0.590816	37.4056
117	2.01456	0.0708111	7.06576	2.01456	0.589077	98.7831
118	2.02219	-0.0435064	7.02137	2.02219	0.587343	162.387
i	XD	ThetaCalc	ThetaE	xE	rE	Err
1	0.518515	7.8553	29.7255	0.518515	1.13488	2.78413
2	0.564637	7.51817	29.0808	0.564637	1.13725	2.86807
3	0.613367	7.14417	28.4539	0.613367	1.13992	2.98282
4	0.664669	6.73479	27.8447	0.664669	1.14291	3.13446
5	0.71852	6.29067	27.2515	0.71852	1.14623	3.33205
6	0.774909	5.81139	26.673	0.774909	1.1499	3.58977
7	0.833849	5.2956	26.1072	0.833849	1.15392	3.92998
8	0.893168	4.79621	25.6045	0.893168	1.15818	4.33849
9	0.950308	4.36359	25.2007	0.950308	1.16249	4.77522
10	1.00822	3.91844	24.8138	1.00822	1.16708	5.33256
11	1.04959	3.58828	24.5434	1.04959	1.17049	5.83989
12	1.0922	3.23435	24.2669	1.0922	1.1741	6.50287
13	1.13474	2.8824	24.005	1.13474	1.17782	7.32811
14	1.17759	2.52224	23.7489	1.17759	1.18166	8.41583
15	1.22085	2.15007	23.4958	1.22085	1.18564	9.92795
16	1.26453	1.76477	23.2452	1.26453	1.18975	12.1718
17	1.30862	1.36536	22.9966	1.30862	1.194	15.8428
18	1.35293	0.9553	22.7521	1.35293	1.19835	22.8168
19	1.39773	0.527536	22.5077	1.39773	1.20283	41.6657
20	1.43459	0.160535	22.3056	1.43459	1.20658	137.946
21	1.47177	-0.21886	22.1039	1.47177	1.21041	101.996
i	XD	ThetaCalc	ThetaE	xE	rE	Err
1	0.440915	12.311	23.6973	0.440915	1.0824	0.924899
2	0.479566	11.9854	23.3587	0.479566	1.07796	0.948925
3	0.52046	11.638	23.0072	0.52046	1.07341	0.976902
4	0.563545	11.2695	22.6459	0.563545	1.06877	1.00948
5	0.608771	10.8802	22.2768	0.608771	1.06407	1.04746
6	0.656096	10.47	21.9015	0.656096	1.05934	1.09184
7	0.70549	10.0382	21.5211	0.70549	1.05458	1.14392
8	0.756938	9.58356	21.1352	0.756938	1.04981	1.20536
9	0.808688	9.14729	20.7941	0.808688	1.04522	1.27325
10	0.858668	8.76701	20.5346	0.858668	1.04099	1.34225
11	0.909214	8.37987	20.2806	0.909214	1.03693	1.42016
12	0.945211	8.09632	20.0969	0.945211	1.03416	1.48223
13	0.98218	7.79592	19.9032	0.98218	1.03143	1.55303
14	1.01906	7.4985	19.7193	1.01906	1.0288	1.62976
15	1.05612	7.19632	19.5369	1.05612	1.02627	1.71485
16	1.09346	6.88666	19.3536	1.09346	1.02381	1.8103
17	1.13106	6.56877	19.1687	1.13106	1.02144	1.91816
18	1.16892	6.24209	18.982	1.16892	1.01915	2.04097
19	1.20687	5.9093	18.796	1.20687	1.01694	2.18075
20	1.24513	5.56538	18.6066	1.24513	1.01481	2.34327
21	1.27648	5.27349	18.4465	1.27648	1.01313	2.49797
22	1.30804	4.97406	18.2848	1.30804	1.01149	2.67604
23	1.33938	4.6741	18.1268	1.33938	1.00991	2.87814
24	1.37107	4.3616	17.9633	1.37107	1.00836	3.11851
25	1.39946	4.07287	17.8133	1.39946	1.00701	3.37364
26	1.43075	3.75357	17.652	1.43075	1.00557	3.70271
27	1.45883	3.45719	17.5029	1.45883	1.00431	4.06276
28	1.48699	3.15066	17.3498	1.48699	1.00308	4.50672
29	1.51495	2.83881	17.1959	1.51495	1.00188	5.05744
30	1.54081	2.54426	17.0527	1.54081	1.00079	5.7024
31	1.56697	2.24557	16.9112	1.56697	0.999711	6.53091
32	1.59139	1.95654	16.7746	1.59139	0.99872	7.57363
33	1.61421	1.68046	16.6456	1.61421	0.997806	8.9054
34	1.63559	1.41875	16.5255	1.63559	0.996961	10.6479
35	1.65602	1.16021	16.4069	1.65602	0.996161	13.1413
36	1.67423	0.928163	16.3023	1.67423	0.995454	16.5641
37	1.69053	0.713675	16.2057	1.69053	0.994824	21.7074
38	1.7035	0.539009	16.1271	1.7035	0.994326	28.92
39	1.71156	0.425442	16.0753	1.71156	0.994017	36.785
40	1.74835	-0.058984	15.8688	1.74835	0.992614	270.036
i	XD	ThetaCalc	ThetaE	xE	rE	Err
